locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name
SL1344_0995,2,0.40081,1.0,6e-06,d2,gtgE
SL1344_1795,1,0.49431,1.0,6e-06,d2,SL1344_1795
SL1344_P2_0010,3,0.2939,1.0,6e-06,d2,yafB
SL1344_4351,1,0.49287,1.0,6e-06,d2,iolT1
SL1344_0284,1,0.49358,1.0,6e-06,d2,vgrS
SL1344_2863,4,0.4716,1.0,6e-06,d2,sipC
SL1344_P1_0094,1,0.49445,1.0,6e-06,d2,srgA
SL1344_0833,3,0.35093,1.0,6e-06,d2,SL1344_0833
SL1344_3626,1,0.50355,1.0,6e-06,d2,xylA
SL1344_P1_0068,2,0.46062,1.0,6e-06,d2,spvB
SL1344_1066,3,0.32766,1.0,6e-06,d2,SL1344_1066
SL1344_4521,4,0.49607,1.0,6e-06,d2,sthA
SL1344_P2_0079,4,0.40113,1.0,6e-06,d2,traE
SL1344_4151,2,0.34901,1.0,6e-06,d2,SL1344_4151
SL1344_2551,2,0.35265,1.0,6e-06,d2,SL1344_2551
SL1344_0606,1,0.50776,1.0,6e-06,d2,citT
SL1344_1248,1,0.50944,1.0,6e-06,d2,celB
SL1344_2570,1,0.51056,1.0,6e-06,d2,SL1344_2570
SL1344_2546,2,0.51696,1.0,6e-06,d2,gogB
SL1344_0640,3,0.49755,1.0,6e-06,d2,SL1344_0640
SL1344_2691,1,0.51417,1.0,6e-06,d2,SL1344_2691
SL1344_1030,2,0.358,1.0,6e-06,d2,sopB
SL1344_3586,1,0.51502,1.0,6e-06,d2,yhjR
SL1344_2259,1,0.51607,1.0,6e-06,d2,yfaV
SL1344_P1_0024,1,0.51595,1.0,6e-06,d2,traR
SL1344_2778,1,0.51955,1.0,6e-06,d2,ygaE
SL1344_2163,2,0.35755,1.0,6e-06,d2,SL1344_2163
SL1344_2870,1,0.52223,1.0,6e-06,d2,spaO
SL1344_3544,2,0.37884,1.0,6e-06,d2,yhhQ
SL1344_0703,1,0.52165,1.0,6e-06,d2,SL1344_0703
SL1344_3604,1,0.52436,1.0,6e-06,d2,lpfC
SL1344_2692,1,0.52265,1.0,6e-06,d2,SL1344_2692
SL1344_3144,1,0.52458,1.0,6e-06,d2,SL1344_3144
SL1344_2114,1,0.52648,1.0,6e-06,d2,srcA
SL1344_2774,1,0.52936,1.0,6e-06,d2,ygaF
SL1344_3365,1,0.52758,1.0,6e-06,d2,yhdV
SL1344_3311,1,0.5277,1.0,6e-06,d2,nanA
SL1344_3150,1,0.5354,1.0,6e-06,d2,ygiW
SL1344_4402,3,0.43809,1.0,6e-06,d2,ytgA
SL1344_0368,3,0.2667,1.0,6e-06,d2,yaiU
SL1344_P1_0063,1,0.53904,1.0,6e-06,d2,rlgA2
SL1344_P2_0081,1,0.53707,1.0,6e-06,d2,shfB
SL1344_0832,2,0.35889,1.0,6e-06,d2,SL1344_0832
SL1344_P1_0022,1,0.54319,1.0,6e-06,d2,traC
SL1344_P2_0101,1,0.54457,1.0,6e-06,d2,traC
SL1344_0020,1,0.54379,1.0,6e-06,d2,SL1344_0020
SL1344_4404,1,0.54366,1.0,6e-06,d2,yjgN
SL1344_2827,2,0.37268,1.0,6e-06,d2,hycG
SL1344_3444,1,0.54515,1.0,6e-06,d2,cysG
SL1344_3107,1,0.54636,1.0,6e-06,d2,SL1344_3107
SL1344_2973,1,0.54512,1.0,6e-06,d2,ptr
SL1344_2547,1,0.54623,1.0,6e-06,d2,SL1344_2547
