Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
yfaV,1,-0.013356,0.8287690000000001,0.9267129999999999,d2
thiI,1,-0.26879000000000003,0.8287690000000001,0.9267129999999999,d2
SL1344_3098,1,-0.006318600000000001,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:3916259,1,-0.054352,0.8287690000000001,0.9267129999999999,d2
SL1344_1265,1,-0.078483,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:1366717,1,-0.0070002,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:1919999,1,-0.18402000000000002,0.8287690000000001,0.9267129999999999,d2
sipD,2,0.082669,1.0,9e-06,d2
SL1344_1846,1,-0.10403,0.8287690000000001,0.9267129999999999,d2
slrP,1,-0.28242,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:1517035,1,-0.066234,0.8287690000000001,0.9267129999999999,d2
ycjX,1,-0.1361,0.8287690000000001,0.9267129999999999,d2
yihO,3,0.31713,1.0,9e-06,d2
SL1344_2715,1,-0.25716999999999995,0.8287690000000001,0.9267129999999999,d2
pilO,3,-0.026755,1.0,9e-06,d2
aroG,1,-0.2215,0.8287690000000001,0.9267129999999999,d2
allC,1,-0.24764,0.8287690000000001,0.9267129999999999,d2
rtn,1,-0.20346,0.8287690000000001,0.9267129999999999,d2
phoN,1,-0.12547,0.8287690000000001,0.9267129999999999,d2
ssaI,1,-0.32700999999999997,0.8287690000000001,0.9267129999999999,d2
gtgA,2,-0.092318,1.0,9e-06,d2
FQ312003.1:2953510,1,-0.010304,0.8287690000000001,0.9267129999999999,d2
SL1344_2115,1,-0.040048,0.8287690000000001,0.9267129999999999,d2
pspE,1,-0.07638500000000001,0.8287690000000001,0.9267129999999999,d2
yrbD,1,-0.098178,0.8287690000000001,0.9267129999999999,d2
sseF,5,-0.12042,1.0,9e-06,d2
ycbW,1,-0.056665,0.8287690000000001,0.9267129999999999,d2
sopE,1,-0.20923000000000003,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:3118001,1,-0.0024629,0.8287690000000001,0.9267129999999999,d2
SL1344_2772,1,-0.056764,0.8287690000000001,0.9267129999999999,d2
csgA,1,-0.24565,0.8287690000000001,0.9267129999999999,d2
phoP,1,-0.23659000000000002,0.8287690000000001,0.9267129999999999,d2
mnmC,1,-0.07424700000000001,0.8287690000000001,0.9267129999999999,d2
SL1344_1795,1,-0.075329,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:807811,1,-0.19933,0.8287690000000001,0.9267129999999999,d2
SL1344_2714,1,-0.10613,0.8287690000000001,0.9267129999999999,d2
sxy,1,-0.08378,0.8287690000000001,0.9267129999999999,d2
yhfL,3,0.19292,1.0,9e-06,d2
ygaF,1,-0.013311000000000002,0.8287690000000001,0.9267129999999999,d2
ymgE,1,-0.19915,0.8287690000000001,0.9267129999999999,d2
